last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Donaldson, Josh,518626,2017,496,306,0.27,0.259,0.01100000000000001,0.559,0.55,0.009000000000000008,0.396,0.392,0.0040000000000000036
Harper, Bryce,547180,2017,492,324,0.319,0.294,0.025000000000000022,0.595,0.55,0.04499999999999993,0.416,0.394,0.021999999999999964
Fowler, Dexter,451594,2017,491,323,0.264,0.276,-0.01200000000000001,0.488,0.464,0.023999999999999966,0.358,0.358,0
Núñez, Eduardo,456488,2017,491,416,0.313,0.257,0.055999999999999994,0.46,0.349,0.11100000000000004,0.342,0.28,0.062
Duda, Lucas,446263,2017,491,290,0.217,0.238,-0.02099999999999999,0.496,0.485,0.01100000000000001,0.341,0.348,-0.006999999999999951
Martinez, J.D.,502110,2017,489,308,0.303,0.3,0.0030000000000000027,0.69,0.693,-0.0030000000000000027,0.43,0.432,-0.0020000000000000018
Iglesias, José,578428,2017,489,402,0.255,0.259,-0.0040000000000000036,0.369,0.332,0.03699999999999998,0.283,0.275,0.007999999999999952
Spangenberg, Cory,605486,2017,486,319,0.264,0.238,0.026000000000000023,0.401,0.376,0.025000000000000022,0.313,0.295,0.018000000000000016
Schwarber, Kyle,656941,2017,486,272,0.211,0.224,-0.013000000000000012,0.467,0.49,-0.022999999999999965,0.333,0.348,-0.014999999999999958
Napoli, Mike,435063,2017,484,265,0.193,0.201,-0.008000000000000007,0.428,0.448,-0.020000000000000018,0.302,0.314,-0.01200000000000001
Sanó, Miguel,593934,2017,483,252,0.264,0.24,0.02400000000000002,0.507,0.496,0.01100000000000001,0.361,0.348,0.013000000000000012
Grandal, Yasmani,518735,2017,482,312,0.247,0.21,0.037000000000000005,0.459,0.38,0.07900000000000001,0.325,0.283,0.04200000000000004
Gyorko, Jedd,576397,2017,481,328,0.272,0.234,0.038000000000000006,0.472,0.428,0.043999999999999984,0.344,0.32,0.023999999999999966
Lucroy, Jonathan,518960,2017,481,376,0.265,0.258,0.007000000000000006,0.371,0.358,0.013000000000000012,0.311,0.308,0.0030000000000000027
Correa, Carlos,621043,2017,481,334,0.315,0.316,-0.0010000000000000009,0.55,0.558,-0.008000000000000007,0.394,0.401,-0.007000000000000006
Heyward, Jason,518792,2017,480,369,0.259,0.265,-0.006000000000000005,0.389,0.394,-0.0050000000000000044,0.311,0.32,-0.009000000000000008
Drury, Brandon,592273,2017,480,344,0.267,0.257,0.010000000000000009,0.447,0.415,0.03200000000000003,0.325,0.312,0.013000000000000012
Renfroe, Hunter,592669,2017,479,306,0.231,0.229,0.0020000000000000018,0.467,0.44,0.027000000000000024,0.316,0.309,0.007000000000000006
Castro, Starlin,516770,2017,473,353,0.3,0.26,0.03999999999999998,0.454,0.408,0.04600000000000004,0.338,0.306,0.03200000000000003
Maldonado, Martín,455117,2017,471,319,0.221,0.21,0.01100000000000001,0.368,0.364,0.0040000000000000036,0.279,0.275,0.0040000000000000036
Pollock, AJ,572041,2017,466,354,0.266,0.28,-0.014000000000000012,0.471,0.445,0.025999999999999968,0.34,0.341,-0.0010000000000000009
Kemp, Matt,461314,2017,466,340,0.276,0.286,-0.009999999999999953,0.463,0.506,-0.04299999999999998,0.328,0.349,-0.020999999999999963
Wieters, Matt,446308,2017,465,332,0.225,0.232,-0.007000000000000006,0.344,0.367,-0.02300000000000002,0.273,0.287,-0.013999999999999957
Dietrich, Derek,518618,2017,464,312,0.249,0.253,-0.0040000000000000036,0.424,0.415,0.009000000000000008,0.324,0.326,-0.0020000000000000018
Broxton, Keon,542979,2017,463,241,0.22,0.221,-0.0010000000000000009,0.42,0.414,0.006000000000000005,0.308,0.308,0
Pedroia, Dustin,456030,2017,463,364,0.293,0.279,0.013999999999999957,0.392,0.373,0.019000000000000017,0.331,0.323,0.008000000000000007
Goins, Ryan,572365,2017,459,332,0.237,0.212,0.024999999999999994,0.356,0.311,0.044999999999999984,0.278,0.263,0.015000000000000013
Pérez, Hernán,541650,2017,458,359,0.259,0.255,0.0040000000000000036,0.414,0.38,0.033999999999999975,0.298,0.288,0.010000000000000009
Grossman, Robbie,543257,2017,456,307,0.246,0.273,-0.027000000000000024,0.38,0.399,-0.019000000000000017,0.329,0.35,-0.020999999999999963
Frazier, Adam,624428,2017,454,353,0.276,0.281,-0.0050000000000000044,0.399,0.391,0.008000000000000007,0.322,0.326,-0.0040000000000000036
