last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
McCutchen, Andrew,457705,58,11.1,34.5,107.8,89.7,94.2,82.9,442,171,391,26,44.8,4,6.9,4.8
Rojas, Josh,668942,58,9,41.4,103.1,87.6,89.8,85.6,392,173,,19,32.8,2,3.4,2.4
Segura, Jean,516416,58,-2.4,24.1,109.2,89.1,92.8,87.5,388,103,,23,39.7,2,3.4,2.7
Báez, Javier,595879,58,9.3,19,109.7,89.7,92.6,89.2,360,129,,22,37.9,0,0,0
Berti, Jon,542932,58,13.2,32.8,107.8,87.1,93.5,80.7,417,164,410,21,36.2,3,5.2,3.9
Hays, Austin,669720,58,10.6,37.9,111,93.2,95.3,92.2,430,173,418,27,46.6,11,19,12.6
Profar, Jurickson,595777,58,15,34.5,107,85.7,85.4,86.5,417,173,388,20,34.5,2,3.4,2.2
Varsho, Daulton,662139,58,11.4,39.7,112.5,84.8,91.6,76.6,389,171,381,18,31,4,6.9,4.3
Betts, Mookie,605141,58,15.2,37.9,108.1,90.2,95,87,393,183,383,24,41.4,4,6.9,4.3
Jung, Josh,673962,57,18.6,43.9,108.9,89.3,93.7,85,441,195,402,25,43.9,6,10.5,6.6
Soto, Juan,665742,57,6.2,19.3,111.9,91.9,98.4,90,453,134,430,32,56.1,9,15.8,8.7
Naylor, Josh,647304,57,18.5,24.6,109.1,88.4,91.2,87.6,430,174,418,22,38.6,5,8.8,6.4
Contreras, Willson,575929,57,11.4,42.1,115.1,92.2,95,90.8,441,180,397,27,47.4,8,14,9.5
Thomas, Lane,657041,57,13.9,31.6,109.3,86.2,92.1,82.4,384,143,,18,31.6,1,1.8,1.2
Suárez, Eugenio,553993,57,17.4,40.4,110.2,91.5,94.3,88,407,195,385,27,47.4,5,8.8,5.2
Correa, Carlos,621043,57,18.8,36.8,113.9,87.8,92.8,83,389,181,354,23,40.4,6,10.5,7.2
Grisham, Trent,663757,56,25.9,26.8,112.3,94.3,98.4,91.2,424,200,410,25,44.6,12,21.4,12.5
Flores, Wilmer,527038,56,23.1,33.9,106,86,91.1,84.6,401,189,387,21,37.5,3,5.4,4.2
Anderson, Brian,605119,56,8.9,39.3,108.8,87.7,94.1,83.3,421,162,401,21,37.5,10,17.9,10.9
Donovan, Brendan,680977,56,7.3,33.9,109.1,86.8,93.5,83,396,142,392,18,32.1,4,7.1,5.2
Trout, Mike,545361,56,16.8,44.6,112.3,93.3,97.3,87.5,441,216,423,31,55.4,8,14.3,8.2
Frazier, Adam,624428,55,7.3,30.9,103.9,86.7,90.4,84.5,396,149,387,18,32.7,2,3.6,2.8
Cooper, Garrett,643265,55,12.2,36.4,109.8,90.9,93.2,88.7,422,170,411,26,47.3,4,7.3,4.8
